Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,H,,,STATE,0.033,122.2,122.167,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,f,,,POINT,60.767,60.767,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,f,,,POINT,66.9,66.9,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,f,,,POINT,69.8,69.8,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,f,,,POINT,72.133,72.133,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,122.2,122.2,,,
,,,,,,,q,,,,281.433,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,g,,,POINT,289.433,289.433,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,v,,,POINT,293.333,293.333,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,308.067,308.067,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,319.3,324.733,5.433,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,338.067,374.867,36.8,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,378.667,385.4,6.733,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,397.0,438.767,41.767,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,657.033,676.467,19.434,,
