,win_center#01,win_center#02,win_center#03,win_center#04,win_center#05,win_center#06,win_center#07,win_center#08,win_center#09,win_center#10,win_center#11,win_center#12,win_center#13,win_center#14,win_center#15,win_dm#01,win_dm#02,win_dm#03,win_dm#04,win_dm#05,win_dm#06,win_dm#07,win_dm#08,win_dm#09,win_dm#10,win_dm#11,win_dm#12,win_dm#13,win_dm#14,win_dm#15,win_dm#16,win_tube#01,win_tube#02,win_tube#03,win_tube#04,win_tube#05,win_tube#06,win_tube#07,win_tube#08,win_tube#09,win_tube#10,win_tube#11,win_tube#12,win_tube#13,win_tube#14,win_tube#15,win_tube#16,win_return#01,win_return#02,win_return#03,win_return#04,win_return#05,win_return#06,win_return#07,win_return#08,win_return#09,win_return#10,win_return#11,win_return#12,win_return#13,win_return#14,win_return#15,win_return#16,go_center#01,go_center#02,go_center#03,go_center#04,go_center#05,go_center#06,go_center#07,go_center#08,go_center#09,go_center#10,go_center#11,go_center#12,go_center#13,go_center#14,go_center#15,go_dm#01,go_dm#02,go_dm#03,go_dm#04,go_dm#05,go_dm#06,go_dm#07,go_dm#08,go_dm#09,go_dm#10,go_dm#11,go_dm#12,go_dm#13,go_dm#14,go_dm#15,go_tube#01,go_tube#02,go_tube#03,go_tube#04,go_tube#05,go_tube#06,go_tube#07,go_tube#08,go_tube#09,go_tube#10,go_tube#11,go_tube#12,go_tube#13,go_tube#14,go_tube#15,go_return#01,go_return#02,go_return#03,go_return#04,go_return#05,go_return#06,go_return#07,go_return#08,go_return#09,go_return#10,go_return#11,go_return#12,go_return#13,go_return#14,go_return#15
win_center#01,0.0,4.492006924396369,3.631319104820008,5.2385350574383756,6.496679468181318,5.303169468853743,8.929151928719836,4.54300383035384,3.8884144377205736,2.2294783941545115,4.80290544928544,6.61633120283372,4.2037658329738115,4.064616937596561,3.9040317279080474,3.4911768662910783,5.392025746541837,3.2763391096928585,5.245059876965971,4.804344709709842,6.672647121945952,9.594639907006348,6.176773984298002,2.9435903494615236,5.011919776682343,6.784939313801546,4.286266639822938,6.735521376398181,7.343113516466744,5.0063234474540605,2.5751338573682174,9.831493090322608,6.699121204378993,6.531951983680183,9.011764110915966,8.113589632925406,8.319817390922262,8.216815303460205,8.600360000608356,7.625960509401709,7.909582696968467,9.490342657523465,8.07833323368824,8.382355830400556,8.787779881689401,7.708558781272394,8.18139127672796,12.033461631968903,14.140656997993897,8.926008648274879,11.245635645299263,11.069976124091557,12.082100670015086,10.8154085246406,10.856722256034665,6.912342203017166,8.390378395547797,10.603903820043028,8.685529824612411,12.761889292999191,8.460874811617263,10.650864019311662,7.0320837557882925,3.358873621257102,3.5998339941538164,1.8804972848286319,4.55741723505518,2.807800003996896,3.270988647009982,2.8115230478957653,4.0711909607682,2.8540355957522716,5.224645379201411,3.654049556299523,2.221798342225091,4.916988070649953,2.75554773721768,6.141723417444261,1.835528392252015,3.3011785161886755,3.3544078756624978,4.491895853024551,3.947018763420521,2.948407210391272,3.183693917032348,3.565192586407772,3.085433147549607,6.070300064024128,4.43799250419568,2.1621515901633246,3.5897472495942444,3.5039444011027654,4.637732868370661,4.697367341336641,6.040705294279637,5.856709787442463,5.456372615752783,6.151792738758202,6.11962291918804,4.890128133458882,6.03303947552132,4.2487685944387374,3.9895174342034028,5.17864798573025,4.321715822141796,4.683298021751353,4.508062522363371,6.488075995976262,4.4176392363164165,4.031509039102055,3.923690948125081,3.982495485096583,4.439012503191472,3.960102666962379,3.321531804449193,4.004209314662479,3.2658552805187004,3.3364504544604294,3.2346732304214907,3.185321508426424,2.38033980666175,4.050814971554484,4.7144360889833274
win_center#02,4.492006924396369,0.0,4.8493032310537725,3.7930875418150594,3.4499025146775453,2.635353042243302,4.48777531964888,3.290718986151143,4.0564196894948115,5.079737230815051,3.040925344853709,3.6302826127583168,2.8256898393901637,2.791122509973322,4.253966084039694,4.3533467847975045,3.713737821939977,5.751461709348994,4.034656604705006,4.603658940215015,4.260346332126994,6.272629785803941,4.065036628419206,5.751948801769761,3.33250574715954,5.427422101124628,2.440333855293764,5.093804192785575,4.900767222705542,2.5903205754730383,3.35895157420668,8.269404517705635,4.772233031019673,4.704712852751881,7.223786461835626,5.731631351526756,7.0702293229345985,6.290738902082794,6.357095254289606,5.036413844447564,5.639565797126325,6.999218508321881,5.269160856484262,7.211272338189048,7.9357540816841095,5.10269373246959,4.560454322048623,7.558308887822012,8.857789802840834,4.741585940106031,7.592631371283315,7.917076340434174,7.266659494734302,6.751624820120808,4.429188537973775,5.708136629289427,3.3610849387623327,5.708285053830504,6.267967107910941,8.249575557600247,5.495889703700725,4.4061051334890475,5.267945418322336,2.9902648646170467,5.7380873605667055,4.210880904574131,4.560002828604897,3.9598271684463286,3.2672458862113314,4.5806346334451735,2.358479403441762,4.893127004438739,4.902576856108143,4.231259529654493,4.995829493463666,5.337024160629561,3.7807340159876386,2.6768876426220443,4.4318370622613275,6.127403259632999,4.573841213585319,4.752868474485059,5.27683471604335,5.317599456673552,3.572369169276149,3.5773416213206826,6.2261528037771265,6.889999891533005,5.233599678055492,2.9214952442813535,5.254526340403092,4.632902710752352,3.081164687130981,6.282587000581262,6.407936755203731,6.188365548790855,5.170335428150325,6.87173152086993,6.378748658170653,4.698495257768731,4.750462735460558,6.135311919601807,6.8520328145599905,4.872038867592424,5.621045594560672,5.199597826121091,5.225221970901421,7.349452384517874,5.096423060364285,3.204253938147429,5.573650320337061,5.990934959878611,4.520623878237899,5.427159576237439,5.493229758844021,4.339843446864194,5.882260230263118,5.7020998139324846,5.028249751629547,5.720152849562365,6.204727050297424,4.003515316448415,5.063518618617545
win_center#03,3.631319104820008,4.8493032310537725,0.0,5.046953040295724,7.772351479741756,6.0851350032635345,7.29405486469264,3.6555336903373843,5.418963889275624,4.02025177811161,6.891853287630297,7.120049642063119,6.098259771620004,3.51741965382998,3.1233411123714463,5.730419070769597,6.350961526959347,4.501860428274665,7.005334710170093,4.255340641049555,6.4313717448053955,7.996555447365703,5.6273538694860274,5.92124651773426,5.550098369703015,5.761654159833254,5.804562237512838,8.06809785511574,7.441704822937676,5.289232109724609,4.125013539620029,7.484521555926367,5.182650280810695,6.276331051060213,6.6918270496182055,6.663902305157176,5.485594158934364,6.32774739708031,6.169236413003899,5.8354087276328155,5.907003655053495,6.2200703205889925,6.18982910544939,6.317643669966478,6.0674150172122525,4.742238543494809,5.490994423257134,9.771023218015095,12.052935050334348,7.259152448111885,9.507433709717565,9.510162095453339,10.387696781200324,8.762196584232122,8.857893026166504,5.993408520618907,7.052642165497157,8.706919859916885,6.640542480505259,10.742651968304378,6.753348832199989,9.246188096897416,6.124579582648088,4.3498201406051695,4.388885689037536,3.9630327065893622,3.1633469235364773,4.940458541875103,4.100288482759217,4.241965577006951,5.881052042350855,3.1695201165051614,3.4442526164239062,3.94367648120835,3.092680212934663,3.20609940601304,3.2277879393955993,5.795619912957122,3.8569746575237267,2.921144848468259,4.063868134648777,3.363941632600321,4.598662713165816,5.597656083814038,3.382825439194367,5.002940703377793,3.228884497547087,3.965571138875951,2.0164591689787295,4.168874850474892,2.9768425532911778,4.97660421234688,4.87175752285581,3.963093768204333,3.8889045972069343,5.82159450632521,4.114173580119991,4.971431894649562,7.553028637969176,5.5628681324559315,5.39162244809201,3.822865151266532,3.025676324060743,2.9053243456345923,4.8581031813178095,3.8188460424574093,5.726718460981243,6.636257205550575,4.182771612733327,3.2775091735961372,4.227466575524162,3.325168494671851,3.0241220084754152,4.203561799789147,3.196309130238928,4.171798431873822,3.288440393340526,2.9820883150534185,3.994851436169907,3.869305884479126,4.408153440876059,4.821561345527606,4.148215259133854
win_center#04,5.2385350574383756,3.7930875418150594,5.046953040295724,0.0,4.833588686063929,3.789925630944776,4.558260130430633,3.5781719360525863,3.8981108246410536,3.39264809493314,4.629469747468607,4.569732904890724,3.756395717667509,3.7984837285100683,4.54457699644533,4.38791850670247,4.887981160220718,6.3534533291231,4.535737321505876,5.563803352469359,4.105802325182878,6.09455946986058,4.913323433826282,5.930343537517394,4.1999199926368735,4.802732207949742,4.062637689713203,5.035945776115442,4.68852382166312,3.7689132254509783,4.303748859195267,7.408422518342338,4.482217195531343,5.236933959240901,6.1573127718577565,4.7923211926860105,5.991749593237239,5.6143594916257245,5.333118151089915,4.307485975456848,4.58135637779356,4.84360082644763,5.5757920882493375,5.963183598738078,6.325729231083592,4.306205089026765,4.537069003558512,7.9116182388610445,8.565431736144783,5.956284845261042,7.044537178060586,7.1941543472591185,7.377887076492532,6.528064861136758,6.4410534459785636,6.905057869912473,6.211459011096475,6.26453511976386,6.44182113819117,7.4154862776545825,6.4398287468887006,6.657009634605321,6.482619685809783,4.889043900522334,5.746117117801786,4.432816546611159,4.549446123745275,5.645351345795793,3.1198482734850126,5.127322085967564,4.4364794365221245,5.174327020724027,4.9697166275101985,5.480316186309179,5.043456101167365,6.209382644775465,4.689581756517075,3.8017419403306945,5.240894766149838,6.488210524291667,6.098251368891366,5.881976485811239,5.867695072213836,6.69101275771238,4.6036711976893745,5.088725348796448,6.3262679069292505,7.622688052761128,5.544305542654487,3.759378750704775,6.171680974028062,5.609129561924619,4.563508649592772,6.4242373566944435,6.602825151399185,7.059202176589248,5.800355844583576,7.081855777833785,7.575652160385825,5.466964117089569,5.922609445795533,6.090427875342848,6.742825245560167,5.020897784174637,5.7526511588035225,5.848420087151534,6.0417889457554015,7.5402783737855055,5.548367570669081,3.6873403665785838,5.841835407870295,6.571466893382101,5.271056081161168,5.840561602486492,5.770598245304118,4.96957656370317,5.926356478870048,5.919016631506081,5.60582398488731,6.176546813307549,5.9230670240003835,3.8234977537174952,4.825050141261346
win_center#05,6.496679468181318,3.4499025146775453,7.772351479741756,4.833588686063929,0.0,2.744088787992167,5.296175392138307,5.28020456211712,6.688542118263081,7.747648622550066,3.553253649024487,3.4233608419226877,4.0654281812271185,4.0042899977498,6.681344259442775,4.960313475781121,4.3384154528001915,8.032225497236434,4.793978085679316,5.8196112305538295,4.964382418825152,5.2403063397455405,4.363064821000699,7.522673680043678,4.249318573342194,7.010233892219395,3.296410388231756,5.744219506958101,4.44482935354171,3.5118992247368457,5.026690702787936,8.577456392560752,6.1128359514332775,6.276112544828849,8.929205170799426,6.257984298009772,7.705866920461048,6.826321723872276,7.576888974966165,6.006670439603546,6.054785700092431,7.950627146117539,5.434616082738246,9.413448192936473,8.954945178310728,6.831565137826572,6.732095755233477,8.54421956656674,10.01865421900887,7.390874033297963,7.158410271424458,6.143977981435821,7.754194155655719,7.403445673414742,7.239885136654118,6.274396778620431,4.483361776476776,6.363757464815039,7.174691784109897,7.319253752333649,5.598435447956702,4.927713518036014,7.466912778069204,4.323804955781448,9.443814352133842,6.933751511953492,6.942140850503296,5.6882224681031515,4.636009494414082,7.2843761858729295,3.3938092944886633,8.172708196193256,7.173368119721754,6.467757609063049,8.12822312345009,8.045974033611541,6.423703918533954,2.2310981068628175,7.011915685769723,8.89616350525496,7.157932260773144,7.308700380012437,7.9394899193417015,7.053233471959274,5.850395105103715,5.258300302173812,8.970971093205709,9.46620179000916,7.810716330579852,5.158819410398588,7.964665582325782,6.553805686033823,4.440873369110506,7.837925441085126,9.060786935759849,8.865001335223443,7.80317878610082,9.258224273376314,8.63017848171151,7.156335248471621,6.971712403324141,8.912365888620648,8.738499664731291,7.112350384404387,8.302018763872553,7.7563116228847315,7.1501180598747,9.717318729407767,7.538414903852259,5.337279202963754,8.2709513617616,6.992445846085584,7.110532920469733,8.261953246747076,8.511698276740763,7.188923086889431,8.20517332154345,8.556669970147299,7.848254764713422,8.57412378329573,9.086969560990353,6.510245579430002,7.494245580626164
win_center#06,5.303169468853743,2.635353042243302,6.0851350032635345,3.789925630944776,2.744088787992167,0.0,4.574276349059773,3.7027936873064693,5.389434008493484,6.265294640975703,2.139589996530124,4.167993522353917,3.053492630848053,3.2415313789941784,4.818286606526829,4.452861023014309,4.092697720139012,6.513462314066397,4.200177226431152,5.039908194639176,3.951913516800868,5.401621492288475,4.4839176010146895,6.436008799893749,3.1405419799882037,5.307826139163482,1.8455122288097403,5.498836106280695,4.079696621014042,1.6622822811674212,3.7403927344896317,8.091582696581474,5.591299002016948,5.712036942605789,7.982292865271678,5.864020571564726,6.39559234858994,5.722075030640883,6.584040921630641,5.066594789508999,5.741848061794356,7.195255807037485,4.830582309336541,7.637275309207435,7.397483334963234,6.089191317424793,5.58932292212002,9.319940089076265,10.821278682369991,6.674878841749628,7.2776178044297,6.940731273933369,8.044582140569608,7.269989118146093,7.662784182838854,6.297519727909184,5.957584020887962,6.6369659451037,6.8578277538931625,9.115666113144453,5.921803088429421,7.124027955302938,6.814270384174817,3.885283100354901,7.474528431182702,5.0571296408001105,5.169868988368767,5.159832987358484,4.2634193793470345,5.7419710493828555,2.9260903111089935,5.9713511131157215,6.17540165988749,4.806951726029159,6.337694721625078,7.151825009381773,5.731963195827253,1.7880933556989282,4.922963117372776,6.774847013623374,5.37945979300367,6.088380890983546,6.482111628498508,6.232043540061451,4.804353252882018,4.437293483271743,6.615187464659634,7.818130002051493,6.349358743139328,3.9673869871799265,5.96969590658028,5.430715382887716,3.4226912885929797,6.9657409622763415,8.495496998721121,8.810410298224463,7.375353448071132,8.51099055896012,9.166187399234305,6.826057150082913,7.607905566622243,7.895375510238265,7.453164345341251,6.555675295628241,7.531843010116873,7.603316970587379,7.181030089676739,9.48281523298422,5.8722681273677555,3.9320362180177475,6.969942513523685,6.146778362439883,5.609505244269352,6.869323788888196,6.728488892916726,6.104263364108734,6.321184839531346,7.117573824200047,5.805900562042478,6.984582025667276,6.921926546631303,5.076924435912428,5.933689764111244
win_center#07,8.929151928719836,4.48777531964888,7.29405486469264,4.558260130430633,5.296175392138307,4.574276349059773,0.0,5.2236635791834525,8.547775861730317,8.884006703499121,6.572573615125786,4.96181956428921,6.6267180529962,5.114871407883397,6.205477463111424,6.01150116490847,6.483975515708557,9.4374091015466,7.270390243675268,6.845397805801891,5.300813653865667,2.4734338576501766,5.3833823208156595,9.757220475053924,5.553439764799256,5.857147324950266,5.857153527620962,7.941207254878287,5.654590548478375,4.629566730099371,6.987359640657786,5.095443319349193,4.738599980898729,4.552975725973419,5.251963169603828,4.1583608156792335,3.95280523021481,4.295510823395086,3.826032751406001,3.4408115328612388,3.964161474056357,4.064878129044992,3.2926693806211405,5.739379428656674,4.780661545146627,3.917920111235537,2.9734148031109107,5.871584167561847,7.6061993623637365,5.613817382013127,3.899448873637623,5.92092657436037,6.460460603672244,4.823891124581189,5.711293437533793,7.4602604181507575,5.738668354138968,5.121503306180685,5.430133543152438,6.301970847068642,5.801651393204523,5.11565184332341,8.175053205311213,5.630463895715645,9.493207000763455,8.176851542536136,5.9397874863536035,8.457701617614491,4.968033679614116,8.631203329059721,6.293878220671758,8.48318871973041,5.909080697420892,6.285676875218572,9.047226445467167,8.091758145753914,7.954094758583621,4.216144846869836,8.268993174951056,9.095362537915959,8.221129727396953,7.375805939503599,8.821374185594633,10.017160818481928,6.842985710784344,7.615083302561262,9.026248569303075,8.560737536664076,7.346245457493978,6.744943767884946,8.147629436633137,8.288129733248743,6.036688653334549,8.450473856790913,9.306600972649639,9.955804031119476,8.303793703209438,8.642212570556397,10.93826580270147,8.382519427297416,8.354347536403754,9.565635705424018,9.34132819107725,7.441754281822038,9.456605789205229,8.867099917003406,9.163193089361302,11.16390046797364,7.90263229556236,5.926046308593522,8.872010098675387,8.278201068106233,7.04254739569456,8.795290786839574,8.934509619478979,7.356147626522411,8.178898389518443,9.10085454423103,8.693995274919093,9.598585914485334,9.643206020725968,7.192713890353498,7.0294682702946725
win_center#08,4.54300383035384,3.290718986151143,3.6555336903373843,3.5781719360525863,5.28020456211712,3.7027936873064693,5.2236635791834525,0.0,4.5975906720218545,4.479236431235263,4.763235680539379,4.712909010634386,4.203874654660394,2.2309086261183273,2.1524827338718557,4.2265660970582015,3.8606512913746913,4.646153340347954,4.639738896193439,3.366625228046976,4.425397329415864,6.178024486482238,3.3485454919614943,5.731683986407378,2.7588796139396115,4.651867753836908,3.661438016036184,6.261855274019464,5.140929189752171,2.866833256896385,3.022628806370143,6.327739953669103,3.619595754798447,4.4569336858150574,6.259539998649052,5.027220493825609,5.206581835121083,4.6085166876711625,5.2228060578476585,4.158250354326246,4.603355574468397,5.967853889302624,4.40788792341288,6.5101787475882205,6.192247005340892,4.825102933007961,4.70708548974953,8.990140192945388,10.821061708209793,6.010859184678371,7.651297383862978,8.18752025766904,8.908316245580082,7.449936475622004,8.10166372844738,5.656530003279172,5.41831022332307,7.090561755746925,5.461630392206571,9.175233047898736,5.493244050933308,7.503013957686093,5.1352453787010255,3.186669944132274,5.054751692260001,4.202141928270336,3.141002219274385,4.101868282747221,3.222122359546584,4.082718650253239,3.5657088225595364,2.9692889074043465,4.0174770115602065,3.6203381296952752,3.672382044300531,4.315370587123241,3.4382706970337864,3.067234770854891,3.9290184405738047,4.5585572284799705,4.592291922550245,3.6948206617152177,4.476517934144261,5.782839714435921,2.7797711131276794,3.7922816567789464,4.903042786814839,5.574802898644857,3.4791661873523507,3.282351264822561,4.077371599119234,4.017175154403981,3.193593997539477,4.083750536269307,5.162153286464788,6.318833561786984,4.33509021499984,5.203343163118681,7.305609020387464,5.03420771097341,4.722715970410153,4.896600413861555,3.9622593673224857,3.3425785462536752,5.21776152942626,4.600755669650254,5.17561556641846,6.650976944380743,3.723866563623813,2.735153789727285,4.947459957681873,3.8041396109339356,3.888769749051657,4.4387832312333115,4.202463996470748,4.479181267219402,3.042034474188351,4.878353852412344,3.9616968951401614,4.693408877537784,4.849044711062153,3.9162314376731975,4.026247613361175
win_center#09,3.8884144377205736,4.0564196894948115,5.418963889275624,3.8981108246410536,6.688542118263081,5.389434008493484,8.547775861730317,4.5975906720218545,0.0,4.907651987560691,5.256991840228695,7.227179588806971,3.8112415473096095,4.836035453290902,3.4236008838608036,3.9186649199273558,5.801989980492081,4.58494505743161,3.912121516964558,3.981179773429563,5.4371008825838665,9.191904645367254,6.365974778581267,3.495777294551202,5.056543437662381,4.220149455045843,5.000573698010647,4.738943033218875,5.1306944354394375,5.229956113326364,3.7031662765414417,7.898120284049101,4.559238557256138,4.503438807263912,7.1993077234211516,5.608650672331137,6.6238905014398535,6.575378295281235,6.547954288323811,4.561246924961082,5.342775040840673,7.047004703889507,5.358604414166492,8.157517348097437,8.063397565354984,5.378701732543334,5.394743918719014,12.438730305764992,14.079001035000566,8.316447279997888,10.342676429901974,9.10166591018837,10.92799989867507,10.132778124683295,11.15648900595984,6.057839131104725,8.980733849766372,9.298148831038437,8.227146235353288,12.5498925584717,6.84640983167724,10.983659117611493,7.757627905322105,3.3129411905884734,4.033369067368641,3.6990705518612663,5.296129738316995,4.562430429794857,3.0839560502773957,3.6951520533202884,5.750338634638426,3.4332516151639463,5.5906335899992525,4.348270211570912,4.257093582125719,5.810771084883432,4.213405639651533,4.929611889115275,3.7848960087688313,4.882247662343378,5.699096247081244,5.717969871098763,4.2171887748816745,5.343185914619528,4.525237417072159,4.860854716244733,4.499655431744389,7.510522275070816,5.059468791670148,3.467854118835816,5.422527567801079,4.619998639358523,3.986600727844317,4.295138787620404,5.679199378332557,6.827762740585362,5.470275554745266,5.846866908288818,6.868002135495925,5.669992849084397,5.699346622984159,4.516434379655917,4.855554083264606,4.552509791306485,4.215782079133163,4.966980973400175,5.073969809918285,5.409340689827824,4.861098329892586,4.202956648926269,4.529563965654943,5.361729785297352,5.819812348582115,5.024075037260097,5.263938396087137,5.053109631563362,5.001684079656081,4.897287462195729,3.647321233259395,4.2379359028232715,3.6757145247495706,4.061727982036807,5.016835179251381
win_center#10,2.2294783941545115,5.079737230815051,4.02025177811161,3.39264809493314,7.747648622550066,6.265294640975703,8.884006703499121,4.479236431235263,4.907651987560691,0.0,6.405102071877407,7.853982238312789,5.233784563572766,4.268904674248731,4.177531338457686,4.2793880920814065,6.7177212256955965,4.340652210330444,7.070831183615789,5.438732644358793,6.8767260324715025,9.70693473353375,6.615913254321817,3.72003790399593,5.923737325067769,6.708630263405658,5.731398566862956,7.93566333094807,7.63751009476592,5.824808744154666,3.638744299760716,8.488398235446686,5.386207337384345,4.77788109120474,7.644424827925923,6.818344921932386,7.6719990109807865,7.454811222173158,7.3777197801071,6.272061819261657,6.763782734596528,8.39544714919653,7.295412085678553,7.75368535197054,8.036000981650396,6.628948720882888,7.043196002312895,11.862108204053955,14.08862641441058,8.815664503911051,10.766828941688267,10.231029248116497,11.50482595337712,10.658137236610473,10.958394945433716,6.892645212411614,9.134846027262075,9.815609158161244,8.428312834308407,12.660166931469771,7.906246522417199,11.094519322219728,7.286688228577298,3.885497851113973,3.667953144672312,3.1264154400778197,4.2758697559826,4.837962718421104,2.7616215426492006,4.931322779714121,6.382667072681683,3.6431673237721323,4.303506827023932,3.8701497746754634,3.272795760000347,3.8983519880965667,2.803026727889367,5.873823186851201,3.177572389603993,2.9440277041386325,4.624995919169987,4.583656384292134,4.827742629524814,5.070204351840279,3.821465801839268,5.176405456833031,2.445310096381428,5.607491372188756,3.530854190360447,3.0310223844195527,3.858554359861435,4.961518531018337,6.097758996494206,4.9033498788065915,4.126304627268515,6.5387614331703325,5.31575362642751,4.490531088611242,7.567265074344638,6.567526844475764,6.173989053385941,3.0183451490634807,4.473319200996602,4.001197948073856,3.9584439614644165,4.475042359440469,5.706159169564766,5.582068069702667,4.934456533870341,4.807074703136601,3.4789544566285477,4.912193300748408,4.559785701084922,3.435015535838119,3.5597620436118733,3.8210519919654518,3.26494675793261,4.164527984587168,4.214905599666679,4.000777497842945,2.557226553667294,4.099315266829836,4.73310054108178
