kind,trial_index,start_idx,end_idx,area
win,1,1950,2339,11.345184340323188
win,2,2469,2878,9.717631109741564
win,3,3341,3688,11.036936048855539
win,4,4267,4685,12.653675736954426
win,5,4782,5350,13.616139173640246
win,6,5358,5678,6.776776134785291
win,7,5759,5973,5.694422216427001
win,8,6033,6317,7.877561979379392
win,9,6947,7363,13.94708729845418
win,10,7574,7940,12.002963290328552
win,11,7941,8376,10.49099845427864
win,12,8441,8736,10.320331760900922
win,13,8938,9187,9.8451583725346
win,14,9187,9522,11.7704996627335
win,15,9530,9875,7.540455481943402
win,16,10202,10510,9.574650101584176
go,1,149,385,3.920188640458046
go,2,471,566,1.665875607235066
go,3,632,749,1.8439246513086054
go,4,811,993,2.3340905029223573
go,5,1022,1186,2.404179167258783
go,6,1558,1681,2.6518695163688504
go,7,1777,1933,1.244141851475001
go,8,2948,3039,1.104764400033954
go,9,3136,3276,1.4722134446194914
go,10,3902,4106,2.767128791758471
go,11,6499,6623,1.5820676935953997
go,12,6698,6871,1.9401850422765419
go,13,7380,7498,1.2961460943496235
go,14,8800,8902,1.7809007489789694
go,15,9914,10097,3.6011018053105657
